id,word,language,form,type,category,lexical_category,lexical_class,uni_lemma,aoa_in_seconds,aoa,lemma,stem_lemma
257,puzzle,English (American),WS,word,toys,nouns,nouns,puzzle,62640000,725,puzzle,puzzle
258,pancake,English (American),WS,word,food_drink,nouns,nouns,pancake,62640000,725,pancake,pancake
259,animal,English (American),WS,word,animals,nouns,nouns,animal,62726400,726,animal,animal
260,potato chip,English (American),WS,word,food_drink,nouns,nouns,chips,62726400,726,chips,chip
261,slide (action),English (American),WS,word,action_words,predicates,verbs,slide (action),62726400,726,slide,slide
262,orange (description),English (American),WS,word,descriptive_words,predicates,adjectives,orange (description),62726400,726,orange,orange
263,spaghetti,English (American),WS,word,food_drink,nouns,nouns,pasta,62812800,727,pasta,pasta
264,sweater,English (American),WS,word,clothing,nouns,nouns,sweater,62812800,727,sweater,sweater
265,watch (object),English (American),WS,word,household,nouns,nouns,watch (object),62812800,727,watch,watch
266,lunch,English (American),WS,word,games_routines,other,other,lunch,62899200,728,lunch,lunch
267,close,English (American),WS,word,action_words,predicates,verbs,close,62899200,728,close,close
268,couch,English (American),WS,word,furniture_rooms,nouns,nouns,couch,62985600,729,couch,couch
269,stick,English (American),WS,word,outside,nouns,nouns,stick,62985600,729,stick,stick
270,dinner,English (American),WS,word,games_routines,other,other,dinner,62985600,729,dinner,dinner
271,kick,English (American),WS,word,action_words,predicates,verbs,kick,62985600,729,kick,kick
272,green,English (American),WS,word,descriptive_words,predicates,adjectives,green,62985600,729,green,green
273,butter,English (American),WS,word,food_drink,nouns,nouns,butter,63072000,730,butter,butter
274,trash,English (American),WS,word,household,nouns,nouns,trash,63072000,730,trash,trash
275,hit,English (American),WS,word,action_words,predicates,verbs,hit,63072000,730,hit,hit
276,sing,English (American),WS,word,action_words,predicates,verbs,sing,63072000,730,sing,sing
277,throw,English (American),WS,word,action_words,predicates,verbs,throw,63072000,730,throw,throw
278,pretty,English (American),WS,word,descriptive_words,predicates,adjectives,pretty,63072000,730,pretty,pretty
279,vacuum,English (American),WS,word,household,nouns,nouns,vacuum,63158400,731,vacuum,vacuum
280,hurt,English (American),WS,word,descriptive_words,predicates,adjectives,hurt (description),63158400,731,hurt,hurt
281,night,English (American),WS,word,time_words,other,other,night,63244800,732,night,night
282,push,English (American),WS,word,action_words,predicates,verbs,push,63331200,733,push,push
283,swim,English (American),WS,word,action_words,predicates,verbs,swim,63331200,733,swim,swim
284,beans,English (American),WS,word,food_drink,nouns,nouns,beans,63417600,734,beans,bean
285,peanut butter,English (American),WS,word,food_drink,nouns,nouns,peanut butter,63417600,734,peanut butter,peanut butter
286,peas,English (American),WS,word,food_drink,nouns,nouns,peas,63504000,735,peas,pea
287,sandwich,English (American),WS,word,food_drink,nouns,nouns,sandwich,63590400,736,sandwich,sandwich
288,this,English (American),WS,word,pronouns,function_words,function_words,this,63590400,736,this,this
289,napkin,English (American),WS,word,household,nouns,nouns,napkin,63676800,737,napkin,napkin
290,room,English (American),WS,word,furniture_rooms,nouns,nouns,room,63676800,737,room,room
291,doctor,English (American),WS,word,people,other,other,doctor,63676800,737,doctor,doctor
292,asleep,English (American),WS,word,descriptive_words,predicates,adjectives,asleep,63676800,737,asleep,asleep
293,my,English (American),WS,word,pronouns,function_words,function_words,my,63676800,737,my,my
294,break,English (American),WS,word,action_words,predicates,verbs,break,63763200,738,break,break
295,do,English (American),WS,word,helping_verbs,function_words,function_words,do,63763200,738,do,do
296,ant,English (American),WS,word,animals,nouns,nouns,ant,63849600,739,ant,ant
297,gonna get you!,English (American),WS,word,games_routines,other,other,gonna get you,63849600,739,gonna get you,gonna get you
298,story,English (American),WS,word,toys,nouns,nouns,story,63936000,740,story,story
299,zipper,English (American),WS,word,clothing,nouns,nouns,zipper,64022400,741,zipper,zipper
300,purse,English (American),WS,word,household,nouns,nouns,purse,64022400,741,purse,purse
301,tissue/kleenex,English (American),WS,word,household,nouns,nouns,tissue,64022400,741,tissue,tissue
302,hamburger,English (American),WS,word,food_drink,nouns,nouns,hamburger,64195200,743,hamburger,hamburger
303,shorts,English (American),WS,word,clothing,nouns,nouns,shorts,64195200,743,shorts,short
304,comb,English (American),WS,word,household,nouns,nouns,comb (object),64195200,743,comb,comb
305,window,English (American),WS,word,furniture_rooms,nouns,nouns,window,64195200,743,window,window
306,work (action),English (American),WS,word,action_words,predicates,verbs,work (action),64195200,743,work,work
307,heavy,English (American),WS,word,descriptive_words,predicates,adjectives,heavy,64195200,743,heavy,heavy
308,coffee,English (American),WS,word,food_drink,nouns,nouns,coffee,64281600,744,coffee,coffee
309,soup,English (American),WS,word,food_drink,nouns,nouns,soup,64281600,744,soup,soup
310,drive,English (American),WS,word,action_words,predicates,verbs,drive,64281600,744,drive,drive
311,helicopter,English (American),WS,word,vehicles,nouns,nouns,helicopter,64368000,745,helicopter,helicopter
312,chocolate,English (American),WS,word,food_drink,nouns,nouns,chocolate,64368000,745,chocolate,chocolate
313,stairs,English (American),WS,word,furniture_rooms,nouns,nouns,stairs,64368000,745,stairs,stair
314,fix,English (American),WS,word,action_words,predicates,verbs,fix,64368000,745,fix,fix
